-13,"[0, 4, 7, 9]",,
1,[0],no3,no3
5,"[0, 7]",no3,no3
7,"[0, 4, 7, 10]",7,maj
9,"[0, 2, 4, 7, 10]",7,maj
11,"[0, 2, 4, 5, 7, 10]",7,maj
13,"[0, 2, 4, 7, 9, 10]",7,maj
(#11),"[0, 6]",,
1(11,"[0, 5]",,
1(13),"[0, 9]",,
1(3,"[0, 4]",,
1(b3,"[0, 3]",,
1(b5,"[0, 6]",,
7(b13,"[0, 4, 7, 8, 10]",,
7(b9,"[0, 1, 4, 7, 10]",,
aug(b7,"[0, 4, 8, 10]",,
maj6(7,"[0, 4, 7, 9, 11]",,
maj6(b7,"[0, 4, 7, 9, 10]",,
maj7(b7),"[0, 4, 7, 10, 11]",,
maj9(13,"[0, 2, 4, 7, 9, 11]",,
sus4(b7,"[0, 5, 7, 10]",,
"1(b3,b7)","[0, 3, 10]",,
min6(9),"[0, 2, 3, 7, 8]",,
maj,"[0, 4, 7]",maj,maj
min,"[0, 3, 7]",min,min
min7,"[0, 3, 7, 10]",min7,min
maj7,"[0, 4, 7, 11]",maj7,maj
sus4,"[0, 5, 7]",sus4,no3
maj(9),"[0, 2, 4, 7]",maj7,maj
"sus4(b7,9)","[0, 2, 5, 7, 10]",sus4,no3
maj6,"[0, 4, 7, 9]",maj6,maj
sus4(b7),"[0, 5, 7, 10]",sus4,no3
min9,"[0, 2, 3, 7, 10]",min7,min
7(#9),"[0, 3, 4, 7, 10]",maj7,maj
maj9,"[0, 2, 4, 7, 11]",maj7,maj
5(b7),"[0, 7, 10]",no3,no3
min11,"[0, 2, 3, 5, 7, 10]",min7,min
sus2,"[0, 2, 7]",sus4,no3
maj6(9),"[0, 2, 4, 7, 9]",maj6,maj
dim,"[0, 3, 6]",dim,dim
min6,"[0, 3, 7, 9]",min6,min
hdim7,"[0, 3, 6, 10]",hdim,dim
sus4(9),"[0, 2, 5, 7]",sus4,no3
min(9),"[0, 2, 3, 7]",min,min
aug(b7),"[0, 4, 8, 10]",aug,aug
7(b9),"[0, 1, 4, 7, 10]",7,maj
min7(11),"[0, 3, 5, 7, 10]",min7,min
maj13,"[0, 2, 4, 7, 9, 11]",maj7,maj
min(11),"[0, 3, 5, 7]",min,min
maj(11),"[0, 4, 5, 7]",maj,maj
"sus4(b7,9,13)","[0, 2, 5, 7, 9, 10]",sus4,no3
min(b13),"[0, 3, 7, 8]",min,min
7(#11),"[0, 4, 6, 7, 10]",7,maj
dim7,"[0, 3, 6, 9]",dim7,dim
aug,"[0, 4, 8]",aug,aug
sus2(b7),"[0, 2, 7, 10]",sus4,no3
1(11),"[0, 5]",no3,no3
maj7(#11),"[0, 4, 6, 7, 11]",maj7,maj
min13,"[0, 2, 3, 7, 9, 10]",min7,min
1(b7),"[0, 10]",no3,no3
maj(#9),"[0, 3, 4, 7]",maj,maj
"1(b3,b7,11,9)","[0, 2, 3, 5, 10] ",min7,min
7(b13),"[0, 4, 7, 8, 10]",7,maj
minmaj7,"[0, 3, 7, 11]",min,min
"maj9(13,#11)","[0, 2, 4, 6, 7, 9, 11]",maj7,maj
maj6(b7),"[0, 4, 7, 9, 10]",maj6,maj
"7(b9,b13)","[0, 1, 4, 7, 8, 10]",7,maj
"1(b5,b7,3)","[0, 4, 6, 10]",7,maj
5(b13),"[0, 7, 8]",no3,no3
"9(13,#11)","[0, 2, 4, 6, 7, 9, 10]",7,maj
min7(b13),"[0, 3, 7, 8, 10]",min7,min
maj(#11),"[0, 4, 6, 7]",maj,maj
maj6(7),"[0, 4, 7, 9, 11]",maj6,maj
maj9(#11),"[0, 2, 4, 6, 7, 11]",maj7,maj
maj(b9),"[0, 1, 4, 7]",maj,maj
1(#5),"[0, 8]",no3,no3
7(11),"[0, 4, 5, 7, 10]",7,maj
9(#11),"[0, 2, 4, 6, 7, 10]",7,maj
9(b13),"[0, 2, 4, 7, 8, 10]",7,maj
aug(9),"[0, 2, 4, 8]",aug,aug
"maj6(7,#11)","[0, 4, 6, 7, 9, 11]",maj6,maj
"maj6(b7,11)","[0, 4, 5, 7, 9, 10]",maj6,maj
1(3),"[0, 4]",no3,no3
"1(11,9)","[0, 2, 5]",no3,no3
5(13),"[0, 7, 9]",no3,no3
dim(b13),"[0, 3, 6, 8]",dim,dim
maj9(13),"[0, 2, 4, 7, 9, 11]",maj7,maj
min6(#11),"[0, 3, 6, 7, 9]",min6,min
min9(b13),"[0, 2, 3, 7, 8, 10]",min7,min
"1(3,7)","[0, 4, 11]",no3,no3
"7(b13,#9)","[0, 3, 4, 7, 8, 10]",7,maj
"7(b9,#11)","[0, 1, 4, 6, 7, 10]",7,maj
9(13),"[0, 2, 4, 7, 9, 10]",7,maj
maj6(b9),"[0, 1, 4, 7, 9]",maj6,maj
"min(11,9)","[0, 2, 3, 5, 7]",min,min
"sus4(b7,9,#11)","[0, 2, 6, 7, 10]",sus4,no3
1(b3),"[0, 3]",no3,no3
aug(7),"[0, 4, 8, 11]",aug,aug
"1(b5,11)","[0, 5, 6]",no3,no3
"aug(b7,9)","[0, 2, 4, 8, 10]",aug,aug
"maj(9,#11)","[0, 2, 4, 6, 7]",maj,maj
maj7(#5),"[0, 4, 8, 11]",maj7,maj
maj7(#9),"[0, 3, 4, 7, 11]",maj7,maj
min6(7),"[0, 3, 7, 8, 10]",min6,min
sus2(#11),"[0, 2, 6, 7]",sus4,no3
"sus4(b13,b7)","[0, 5, 7, 8, 10]",sus4,no3
