Song Tonic,Chord Count,Mode,Cmaj,Fmaj,Gmaj,Cmin,B-maj,G7,Amin,C7,Cmin7,Dmin7,Dmin,A-maj,E-maj,No chord,Amin7,Fmaj/5,F7,C5,C1,Emin,Emin7,Cmaj7,Fmin,Fmaj7,Dmaj,
D,17669,0.502393525,19.02201596,10.45333635,7.442413266,5.982228762,4.131529798,1.924274152,3.22598902,2.082743789,1.765804516,0.962137076,2.139340087,2.01482823,1.658271549,1.256437829,1.171543381,0.599920765,0.990435226,1.754485257,0.888561888,0.831965589,0.554643726,0.599920765,0.79800781,0.837625219,0.39051446,73.47897448
C,14741,0.95368429,21.09761889,12.26511092,6.939827691,2.347194899,3.127331931,2.991655926,3.052710128,1.885896479,1.221084051,2.537141307,1.594193067,1.092191846,0.854758836,1.42459806,1.444949461,1.255003053,0.624109626,0.990434842,0.291703412,1.309273455,1.085408046,1.18038125,0.909029238,1.499219863,0.630893426,73.65171969
E,14121,0.766023566,24.00679839,12.53452305,6.408894554,4.114439487,2.875150485,3.101763331,3.795765172,2.414843141,2.266128461,1.947454146,1.324268819,2.329863324,1.713759649,1.168472488,1.097655973,0.892288082,0.899369733,0.750655053,1.961617449,0.53820551,0.672756887,0.191204589,0.750655053,0.212449543,0.169959635,78.138942
A,13206,0.483577438,20.01363017,9.730425564,8.329547176,6.572769953,5.338482508,3.218234136,1.870361957,1.862789641,2.559442678,1.461456914,1.279721339,1.84764501,2.127820688,1.802211116,0.340754203,1.91579585,0.416477359,1.082841133,0.424049674,0.424049674,0.583068302,0.408905043,0.825382402,0.507345146,1.014690292,75.95789793
G,12770,1.102113013,22.68598277,11.1981206,10.09397024,1.793265466,2.607674236,3.962411903,3.116679718,2.913077525,2.709475333,1.683633516,2.474549726,0.642129992,0.971025842,1.887235709,1.754111198,0.618637431,1.174628034,1.707126077,0.516836335,1.213782302,0.806577917,0.485512921,0.407204385,0.415035239,1.213782302,79.05246672
F,9235,0.988563995,18.66811045,15.73362209,11.27233351,1.916621548,1.201949107,2.512181917,3.714131023,3.465078506,0.541418517,1.494315106,1.375203032,1.082837033,1.266919329,1.028695181,1.007038441,1.364374662,1.256090958,0.086626963,0.270709258,0.617217109,1.743367623,0.530590146,0.573903628,0.942068219,1.613427179,75.27883054
Ab,7089,1.629694009,25.85696149,10.76315418,7.37762731,0.606573565,3.44195232,3.216250529,4.739737622,1.890252504,0.648892651,3.046974185,2.228805191,0,0.126957258,1.452955283,1.438848921,1.86203978,0.71942446,0.056425448,1.79150797,1.170828043,1.467061645,0.437297221,0.338552687,0.380871773,0.296233601,75.35618564
B,6461,0.072395257,15.72511995,8.264974462,5.525460455,13.31063303,6.438631791,2.383531961,0.58814425,0.433369447,2.445441882,0.727441573,0.727441573,3.51338802,2.522829283,1.006036217,0.897693855,0.804828974,0.727441573,0.742919053,1.377495744,0.092864882,0.758396533,0.928648816,1.423928184,0.510756849,0.170252283,72.04767064
Bb,5746,1.422930597,23.96449704,10.23320571,5.777932475,0.904977376,1.235642186,6.50887574,3.428471981,1.46188653,1.966585451,2.714932127,1.392272885,1.392272885,0.835363731,0.400278455,1.183431953,0.400278455,0.069613644,0.069613644,0.730943265,0.957187609,0.574312565,1.235642186,0.348068221,0.278454577,0.609119387,68.67386008
Eb,5660,0.642192868,15.81272085,6.625441696,4.45229682,3.604240283,1.67844523,3.091872792,2.897526502,4.876325088,4.558303887,2.049469965,0.830388693,0.636042403,2.296819788,0.93639576,0.901060071,0.901060071,2.526501767,0.070671378,0.583038869,2.102473498,1.166077739,2.349823322,0.918727915,1.961130742,1.183745583,69.01060071
Db,3222,,18.03227809,9.621353197,7.479826195,0,0.031036623,5.959031657,2.948479205,10.24208566,1.613904407,3.165735568,0.744878957,0,0,0.744878957,0.279329609,0.248292986,5.896958411,0,0.124146493,0.837988827,0.744878957,2.824332713,0.806952204,0.589695841,0.86902545,73.80509001
F#,1730,0.510289618,23.58381503,11.0982659,5.606936416,7.283236994,1.61849711,0.63583815,7.514450867,0.462427746,0.693641618,0,0.809248555,3.121387283,3.005780347,1.445086705,0,1.849710983,0,3.815028902,0.693641618,0,0,0,1.734104046,0,0.462427746,75.43352601
C#,1316,,0,0.455927052,1.139817629,11.7781155,8.282674772,0.987841945,0,0,4.787234043,0,0,7.446808511,0,0.531914894,0,0,0.37993921,1.519756839,9.422492401,0,0,0,0,0,0.835866261,47.56838906
Gb,531,,31.07344633,0.753295669,7.532956685,0,14.50094162,4.143126177,7.156308851,0,0,3.766478343,0.376647834,0,0,0.376647834,3.766478343,0.376647834,0,0,0,0,1.506591337,1.506591337,0,1.506591337,2.63653484,80.97928437
G#,147,,21.76870748,14.28571429,0,0,29.93197279,0,0,0,8.843537415,0,0,9.523809524,5.442176871,0,0,0,0,0,0,0,0,0,0,0,0,89.79591837
Cb,134,,14.92537313,0,23.88059701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.731343284,0,0,0,0,0,42.53731343
,,,20.61206912,10.88611155,7.525180615,4.129093498,3.367083267,3.120989998,3.113079857,2.447749125,1.98720315,1.777144967,1.567965688,1.565328974,1.400094922,1.294626378,1.094236144,1.032712827,1.015134736,0.946580182,0.927244283,0.860447538,0.859568634,0.761131326,0.737400904,0.720701717,0.719822813,
