Song Tonic,Chord Count,0,1,2,3,4,5,6,7,8,9,10,11
A,13206,41.67045282,0.325609571,5.595941239,3.059215508,1.234287445,16.90140845,0.060578525,16.76510677,3.69529002,3.808874754,6.78479479,0.098440103
C,14741,34.57024625,0.305271013,7.930262533,1.750220474,3.683603555,21.24686249,0.48164982,16.30825588,2.462519503,5.915473848,5.013228411,0.332406214
Ab,7089,39.49781351,1.128508958,6.912117365,0.761743546,3.244463253,18.15488785,0.705318098,14.52955283,1.184934405,7.180138242,6.108054733,0.592467203
E,14121,41.15855818,1.104737625,4.560583528,2.981375257,1.777494512,19.99150202,0.552368812,13.11521847,3.682458749,6.076056936,4.858012889,0.141633029
D,17669,37.92517969,0.260342974,6.004867282,2.943007527,2.512875658,17.42600034,0.084894448,16.48084215,2.886411229,6.265210255,6.655724716,0.554643726
G,12770,37.42364918,0.250587314,7.259201253,1.785434612,2.94440094,17.51761942,0.117462803,19.19342208,1.519185591,6.883320282,4.228660924,0.877055599
F,9235,31.90037899,0.249052518,5.782349756,1.98159177,3.27016784,23.27016784,0.877097997,21.15863563,2.046561992,6.713589605,2.29561451,0.454791554
C#,1316,39.20972644,0,0.987841945,3.495440729,0,11.93009119,0.151975684,11.17021277,12.84194529,0,20.21276596,0
Cb,134,44.7761194,0,11.19402985,0,20.14925373,0,0,23.88059701,0,0,0,0
Bb,5746,34.5979812,1.653324052,7.953358858,1.531500174,2.523494605,16.44622346,0.852767142,19.6484511,3.358858336,5.760529064,5.37765402,0.295857988
Db,3222,37.95779019,0.496585971,6.859093731,0.77591558,3.693358163,22.06703911,0.527622595,21.44630664,0.682805711,5.027932961,0.310366232,0.155183116
Eb,5660,41.55477032,0.406360424,6.431095406,3.197879859,4.240282686,16.85512367,2.014134276,12.43816254,2.402826855,5.247349823,3.16254417,2.049469965
F#,1730,39.59537572,2.774566474,4.50867052,4.104046243,0.462427746,18.7283237,1.156069364,7.630057803,7.398843931,8.323699422,4.393063584,0.924855491
G#,147,30.6122449,0.680272109,0,7.482993197,0,14.28571429,0,0,9.523809524,0,37.41496599,0
Gb,531,33.89830508,0.376647834,9.604519774,0.376647834,2.259887006,9.22787194,0.376647834,12.99435028,1.694915254,12.24105461,16.38418079,0.564971751
B,6461,37.85791673,2.89428881,3.095496053,3.869370067,1.485838106,16.32874168,1.408450704,13.9606872,7.382758087,1.950162514,9.379353041,0.386937007
A,13206,5503,43,739,404,163,2232,8,2214,488,503,896,13
C,14741,5096,45,1169,258,543,3132,71,2404,363,872,739,49
Ab,7089,2800,80,490,54,230,1287,50,1030,84,509,433,42
E,14121,5812,156,644,421,251,2823,78,1852,520,858,686,20
D,17669,6701,46,1061,520,444,3079,15,2912,510,1107,1176,98
G,12770,4779,32,927,228,376,2237,15,2451,194,879,540,112
F,9235,2946,23,534,183,302,2149,81,1954,189,620,212,42
C#,1316,516,0,13,46,0,157,2,147,169,0,266,0
Cb,134,60,0,15,0,27,0,0,32,0,0,0,0
Bb,5746,1988,95,457,88,145,945,49,1129,193,331,309,17
Db,3222,1223,16,221,25,119,711,17,691,22,162,10,5
Eb,5660,2352,23,364,181,240,954,114,704,136,297,179,116
F#,1730,685,48,78,71,8,324,20,132,128,144,76,16
G#,147,45,1,0,11,0,21,0,0,14,0,55,0
Gb,531,180,2,51,2,12,49,2,69,9,65,87,3
B,6461,2446,187,200,250,96,1055,91,902,477,126,606,25
,227556,,,,,,,,,,,,
