10,4,,,,,,,,,,,,,,,,>S,C7,F7,C7,0.9219280948873623,#,_C7F7C7>S
18,14,,,,,,>S,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,1.404678473063571,####,_CmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj>S
12,17,,,>S,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,1.207518749639422,##,_FmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj>S
14,5,,,,,,,,,,,,,,,A-maj,B-maj,B-maj6,B-maj,B-maj6,1.287054028118727,##,_B-maj6B-majB-maj6B-majA-maj
14,9,,,,,,,,,,,A-maj,B-maj,Cmin,A-maj,B-maj,Cmin,B-maj,A-maj,Cmin,1.950212064914747,##,_CminA-majB-majCminB-majA-majCminB-majA-maj
18,7,,,,,,,,,,,,,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,1.0975378398419535,#,_CminB-majA-majB-majCminB-majA-maj
10,11,,,,,,,,,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,B-maj,A-maj,B-maj,Cmin,0.9219280948873623,#,_CminB-majA-majB-majCminB-majA-majB-majCminB-majA-maj
15,6,,,,,,,,,,,,,,A-maj,B-maj,Cmin,B-maj,Cmin,B-maj,1.0529815751302694,#,_B-majCminB-majCminB-majA-maj
13,8,,,,,,,,,,,,A-maj,B-maj,Cmin,Gmin7,Fmin7,A-maj7,A-maj,B-maj,1.352030101757953,###,_B-majA-majA-maj7Fmin7Gmin7CminB-majA-maj
32,10,,,,,,,,,,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,0.9933927290103626,#####,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-maj
26,14,,,,,,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,1.1451104143815827,###,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-maj
20,18,,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,Cmin7,Gmin7,A-maj,B-maj,0.9219280948873623,###,_B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-majGmin7Cmin7B-majA-maj
12,4,,,,,,,,,,,,,,,,A-maj,B-maj,G7,Cmin,1.2516291673878228,#,_CminG7B-majA-maj
