22,8,>S,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,,,,,,,,,,,,1.1191194231256716,##,_FmajAminCmajGmajFmajAminCmaj>S,0054; 0067; 0112; 0119; 0145; 0247; 0253; 0263; 0267; 0355; 0362; 0402; 0404; 0571; 0596; 0620; 0749; 1063; 1091; 1152; 1210; 1228
10,6,>S,Cmaj,Fmaj,B-maj,Fmaj,Cmaj,,,,,,,,,,,,,,1.5709505944546687,#,_CmajFmajB-majFmajCmaj>S,0071; 0515; 0562; 0635; 0689; 0773; 0792; 0802; 0915; 1041
23,14,>S,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,,,,,,1.6818990675226109,####,_CmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmajFmajCmaj>S,0023; 0050; 0203; 0234; 0330; 0347; 0391; 0403; 0452; 0559; 0619; 0668; 0674; 0830; 0870; 0969; 0987; 1100; 1113; 1117; 1123; 1135; 1139
18,6,>S,Cmaj,Fmaj,Gmaj,Cmaj,Fmaj,,,,,,,,,,,,,,0.9444885341662053,#,_FmajCmajGmajFmajCmaj>S,0220; 0224; 0235; 0280; 0294; 0324; 0432; 0443; 0446; 0500; 0615; 0729; 0783; 0807; 0839; 0873; 0902; 1094
11,5,>S,Cmin,B-maj,Cmin,B-maj,,,,,,,,,,,,,,,1.0957952550009338,#,_B-majCminB-majCmin>S,0092; 0100; 0141; 0150; 0210; 0260; 0382; 0812; 0889; 0945; 1300
10,4,>S,Cmin,Gmaj,Cmin,,,,,,,,,,,,,,,,1.8464393446710154,#,_CminGmajCmin>S,0396; 0683; 0692; 0768; 0814; 0845; 1013; 1120; 1147; 1182
20,4,C,E-maj,B-maj,Cmin,,,,,,,,,,,,,,,,1.1567796494470395,#,_CminB-majE-majC,1169; 1260
14,10,C,E-maj,B-maj,Cmin,B-maj,Cmaj,C,E-maj,B-maj,Cmin,,,,,,,,,,1.3787834934861758,#####,_CminB-majE-majCCmajB-majCminB-majE-majC,1169; 1260
11,4,Cdim,A-no3,B-maj,E-maj,,,,,,,,,,,,,,,,1.3092966682370037,##,_E-majB-majA-no3Cdim,0205
12,4,Cdim,B-no3,E-maj,B-maj,,,,,,,,,,,,,,,,1.4591479170272446,##,_B-majE-majB-no3Cdim,0240; 0295
20,9,Cdim,E-dim,B-maj,Dmin,Cmin,E-min,B-maj,Gmaj,Cmin,,,,,,,,,,,1.1567796494470395,######,_CminGmajB-majE-minCminDminB-majE-dimCdim,0517; 0680
14,6,Cdim,Emaj,Amaj,Bmaj,Emaj,Amaj,,,,,,,,,,,,,,2.2359263506290326,####,_AmajEmajBmajAmajEmajCdim,0516; 1132
20,8,Cdim,Gmaj,Bmin,Amin,Cmin,Gmaj,Emaj,Amin,,,,,,,,,,,,1.1567796494470395,#####,_AminEmajGmajCminAminBminGmajCdim,0517; 0680
10,19,Cdim,Gmaj,Bmin,Amin,Cmin,Gmaj,Emaj,Amin,Gmaj,Amin,Adim,Cdim,Gmaj,Bmin,Amin,Cmin,Gmaj,Emaj,Amin,1.5219280948873621,#########,_AminEmajGmajCminAminBminGmajCdimAdimAminGmajAminEmajGmajCminAminBminGmajCdim,0517; 0680
18,4,Cmaj,Adim,Gmaj,Gno3,,,,,,,,,,,,,,,,1.0,#,_Gno3GmajAdimCmaj,0705; 0888; 1250
32,6,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,,,,,,,,,,,,,,1.5980505277442498,#,_AmajCmajAmajCmajAmajCmaj,0284; 0533; 0743; 0828
21,8,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,,,,,,,,,,,,1.3752580686696534,#,_AmajCmajAmajCmajAmajCmajAmajCmaj,0533; 0743; 0828
14,10,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,Cmaj,Amaj,,,,,,,,,,1.4299111709758698,#,_AmajCmajAmajCmajAmajCmajAmajCmajAmajCmaj,0533; 0743; 0828
24,7,Cmaj,Amaj,Dmaj,Cmaj,Amaj,Dmaj,Cmaj,,,,,,,,,,,,,1.0238995733215066,##,_CmajDmajAmajCmajDmajAmajCmaj,1220
19,10,Cmaj,Amaj,Dmaj,Cmaj,Amaj,Dmaj,Cmaj,Amaj,Dmaj,Cmaj,,,,,,,,,,1.192250860234642,##,_CmajDmajAmajCmajDmajAmajCmajDmajAmajCmaj,1220
44,7,Cmaj,Amaj,Dmaj,Gmaj,Cmaj,Amaj,Dmaj,,,,,,,,,,,,,0.9187596163744738,#,_DmajAmajCmajGmajDmajAmajCmaj,0041; 0307; 0322; 0554; 0733; 0761; 1133; 1162
14,13,Cmaj,Amaj,Dmaj,Gmaj,Cmaj,Amaj,Dmaj,Gmaj,Cmaj,Amaj,Dmaj,Gmaj,Cmaj,,,,,,,1.4315602842833155,#,_CmajGmajDmajAmajCmajGmajDmajAmajCmajGmajDmajAmajCmaj,0041; 0307; 0322; 0554; 0733; 0761; 1133; 1162
25,6,Cmaj,Amaj,Dmaj,Gmin,B-maj,Cmaj,,,,,,,,,,,,,,0.904381457724494,##,_CmajB-majGminDmajAmajCmaj,0381; 0837; 0999
12,15,Cmaj,Amaj,Dmaj,Gno3,Dmaj,E-maj,B-maj,A-maj,Gmin,Gno3,Dmaj,E-maj,Cmaj,Amaj,Dmaj,,,,,0.9182958340544896,###########,_DmajAmajCmajE-majDmajGno3GminA-majB-majE-majDmajGno3DmajAmajCmaj,0381; 0999
12,14,Cmaj,Amaj,Dmin,Cmaj,Dmin,Ddim,Fdim,Cmaj,Emin,Dmin,Fmin,Cmaj,Amaj,Dmin,,,,,,1.4591479170272448,#########,_DminAmajCmajFminDminEminCmajFdimDdimDminCmajDminAmajCmaj,0517; 0680
10,16,Cmaj,Amaj,Dmin,Gmaj,Cmaj,Amaj,Dmin,Gmaj,Cmaj,Amaj,Dmin,Gmaj,Cmaj,Amaj,Dmin,Gmaj,,,,0.9219280948873623,#######,_GmajDminAmajCmajGmajDminAmajCmajGmajDminAmajCmajGmajDminAmajCmaj,0789
20,4,Cmaj,Amaj,F#maj,Bmaj,,,,,,,,,,,,,,,,0.9709505944546686,#,_BmajF#majAmajCmaj,0381; 0999
12,16,Cmaj,Amaj,F#maj,Bmaj,Eno3,Bmaj,Cmaj,Gmaj,Fmaj,Emin,Eno3,Bmaj,Cmaj,Amaj,F#maj,Bmaj,,,,0.9182958340544896,###########,_BmajF#majAmajCmajBmajEno3EminFmajGmajCmajBmajEno3BmajF#majAmajCmaj,0381; 0999
12,6,Cmaj,Amaj,Fmaj,Gmaj,Fmaj,Gmaj,,,,,,,,,,,,,,1.0,#,_GmajFmajGmajFmajAmajCmaj,0568; 0846
14,17,Cmaj,Amin,B-maj,Dmin,Cmaj,Amin,B-maj,Dmin,Cmaj,Amin,B-maj,Dmin,Cmaj,Amin,B-maj,Dmin,Cmaj,,,0.946372935985442,##########,_CmajDminB-majAminCmajDminB-majAminCmajDminB-majAminCmajDminB-majAminCmaj,0741
12,9,Cmaj,Amin,B-maj,Gmin,Cmaj,Amin,B-maj,Gmin,Cmaj,,,,,,,,,,,0.9182958340544896,####,_CmajGminB-majAminCmajGminB-majAminCmaj,0158; 1237
96,10,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,,,,,,,,,,1.181641354831407,#,_AminCmajAminCmajAminCmajAminCmajAminCmaj,0112; 0250; 0310; 0400; 0404; 0543; 0549; 0596; 0617; 0730; 0818; 0920; 1020; 1091; 1270
72,12,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,,,,,,,,1.2955890242712345,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj,0112; 0310; 0400; 0404; 0549; 0596; 0617; 0730; 0920; 1020; 1091; 1270
52,14,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,,,,,,1.1784822892567672,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj,0112; 0310; 0400; 0404; 0596; 0617; 0730; 0920; 1091; 1270
40,16,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,,,,1.2040157730728,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj,0112; 0310; 0400; 0404; 0596; 0920; 1091; 1270
30,18,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,,0.9218339291539107,#,_AminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmajAminCmaj,0112; 0400; 0404; 0596; 0920; 1091; 1270
14,11,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Cmaj,Gmaj,Emin,Cmaj,Gmaj,,,,,,,,,1.4488156357251847,###,_GmajCmajEminGmajCmajAminCmajAminCmajAminCmaj,0390; 0522
13,9,Cmaj,Amin,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,,,,,,,,,,,1.1401156785146092,#,_CmajGmajFmajAminCmajAminCmajAminCmaj,0250; 0549; 0598; 0617; 0730; 0902
14,9,Cmaj,Amin,Cmaj,Amin,Cmaj,Gmaj,Emin,Cmaj,Gmaj,,,,,,,,,,,1.4488156357251847,##,_GmajCmajEminGmajCmajAminCmajAminCmaj,0390; 0522
24,7,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,,,,,,,,,,,,,1.1760651037159442,#,_CmajGmajFmajAminCmajAminCmaj,0217; 0250; 0401; 0450; 0549; 0598; 0616; 0617; 0730; 0902
11,10,Cmaj,Amin,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,,,,,,,,,,1.823067982273661,#,_AminCmajAminCmajGmajFmajAminCmajAminCmaj,0598; 0616; 0617; 0730
10,7,Cmaj,Amin,Cmaj,Fmaj,Cmaj,Fmaj,Cmaj,,,,,,,,,,,,,0.9219280948873623,#,_CmajFmajCmajFmajCmajAminCmaj,0112; 0390; 0522; 0596; 1020; 1066
14,7,Cmaj,Amin,Cmaj,Gmaj,Emin,Cmaj,Gmaj,,,,,,,,,,,,,1.4488156357251847,##,_GmajCmajEminGmajCmajAminCmaj,0390; 0522
12,7,Cmaj,Amin,Dmaj,Bmin,Cmaj,Amin,Dmaj,,,,,,,,,,,,,0.9182958340544896,##,_DmajAminCmajBminDmajAminCmaj,0158; 1237
81,9,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,,,,,,,,,,,1.2601721282321614,##,_CmajGmajDminAminCmajGmajDminAminCmaj,0218; 0315; 0484; 0728; 0831; 0834; 0926; 0986; 1046; 1161
60,12,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,Cmaj,Amin,Dmin,Gmaj,,,,,,,,0.9394142632300228,##,_GmajDminAminCmajGmajDminAminCmajGmajDminAminCmaj,0315; 0484; 0728; 0926; 0986
11,6,Cmaj,Amin,Dmin,Gmaj,Fmaj,Cmaj,,,,,,,,,,,,,,1.4949188482339508,#,_CmajFmajGmajDminAminCmaj,0371; 0434; 0484; 0779; 0816
19,6,Cmaj,Amin,Dmin,Gno3,Cmaj,Amin,,,,,,,,,,,,,,0.9819407868640977,#,_AminCmajGno3DminAminCmaj,0698; 0819; 0967
27,10,Cmaj,Amin,Dno3,Gmaj,Emin,Cmaj,Amin,Dno3,Gmaj,Emin,,,,,,,,,,1.3516441151533924,####,_EminGmajDno3AminCmajEminGmajDno3AminCmaj,0309; 0769; 1084
15,15,Cmaj,Amin,Dno3,Gmaj,Emin,Cmaj,Amin,Dno3,Gmaj,Emin,Cmaj,Amin,Dno3,Gmaj,Emin,,,,,1.3709505944546687,####,_EminGmajDno3AminCmajEminGmajDno3AminCmajEminGmajDno3AminCmaj,0309; 0769; 1084
14,7,Cmaj,Amin,Emaj,Amin,Cmaj,Gmaj,Cmaj,,,,,,,,,,,,,1.4299111709758698,##,_CmajGmajCmajAminEmajAminCmaj,0845
12,7,Cmaj,Amin,Emin,Gno3,Gmaj,Cmaj,Amin,,,,,,,,,,,,,0.9182958340544896,##,_AminCmajGmajGno3EminAminCmaj,0419
12,4,Cmaj,Amin,F#dim,Bmaj,,,,,,,,,,,,,,,,1.0408520829727552,#,_BmajF#dimAminCmaj,0856
16,14,Cmaj,Amin,Fmaj,Amin,Cmaj,Fmaj,Fmin,Cmaj,Gmin,Cmaj,Fmaj,Fmin,Cmaj,Amin,,,,,,1.0,########,_AminCmajFminFmajCmajGminCmajFminFmajCmajAminFmajAminCmaj,0240; 0295
18,7,Cmaj,Amin,Fmaj,Cmaj,Amin,Cmaj,Amin,,,,,,,,,,,,,0.9864267287308424,#,_AminCmajAminCmajFmajAminCmaj,0228; 0310; 0814; 1120
26,8,Cmaj,Amin,Fmaj,Cmaj,Amin,Fmaj,Cmaj,Amin,,,,,,,,,,,,1.586806896479181,#,_AminCmajFmajAminCmajFmajAminCmaj,0188; 0698; 0814; 1120
10,6,Cmaj,Amin,Fmaj,Cno3,Cmaj,Amin,,,,,,,,,,,,,,1.0,##,_AminCmajCno3FmajAminCmaj,0698
39,7,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,,,,,,,,,,,,,1.1401156785146092,##,_AminCmajGno3DminFmajAminCmaj,0309; 0769; 1084
27,12,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,,,,,,,,1.3516441151533922,####,_AminCmajGno3DminFmajAminCmajGno3DminFmajAminCmaj,0309; 0769; 1084
15,17,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,Fmaj,Dmin,Gno3,Cmaj,Amin,,,1.3709505944546687,####,_AminCmajGno3DminFmajAminCmajGno3DminFmajAminCmajGno3DminFmajAminCmaj,0309; 0769; 1084
10,8,Cmaj,Amin,Fmaj,Emin,Cmaj,Amin,Fmaj,Emin,,,,,,,,,,,,0.9709505944546686,###,_EminFmajAminCmajEminFmajAminCmaj,0091
14,8,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Cmaj,Amin,,,,,,,,,,,,1.8352377453121176,#,_AminCmajAminCmajGmajFmajAminCmaj,0404; 0598; 0616; 0617; 0730; 1091
208,8,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,,,,,,,,,,,,1.0064915961758079,#,_GmajFmajAminCmajGmajFmajAminCmaj,0054; 0067; 0119; 0120; 0145; 0169; 0247; 0253; 0263; 0355; 0362; 0402; 0549; 0568; 0571; 0598; 0617; 0620; 0730; 0749; 0846; 0903; 0992; 1046; 1063; 1094; 1152; 1210; 1211; 1228
145,12,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Fmaj,Gmaj,,,,,,,,0.9687635162753905,##,_GmajFmajAminCmajGmajFmajAminCmajGmajFmajAminCmaj,0054; 0119; 0120; 0145; 0247; 0253; 0263; 0362; 0402; 0568; 0571; 0617; 0620; 0730; 0749; 0846; 0903; 0992; 1046; 1094; 1152; 1210; 1211
12,8,Cmaj,Amin,Fmaj,Gmaj,Cmaj,Amin,Gmaj,Cmaj,,,,,,,,,,,,0.9182958340544896,#,_CmajGmajAminCmajGmajFmajAminCmaj,0217; 0450; 0587; 1007
11,6,Cmaj,Amin,Fmaj,Gmaj,Emin,Gmaj,,,,,,,,,,,,,,1.2406705316766886,#,_GmajEminGmajFmajAminCmaj,1232
24,15,Cmaj,Amin,Fmaj,Gmaj,Fmaj,Cmaj,Gmaj,Fmaj,Cmaj,Amin,Fmaj,Gmaj,Fmaj,Cmaj,Gmaj,,,,,1.4056390622295662,#######,_GmajCmajFmajGmajFmajAminCmajFmajGmajCmajFmajGmajFmajAminCmaj,0705; 0888; 1250
26,5,Cmaj,Amin,Fmin,Gmaj,Cmaj,,,,,,,,,,,,,,,1.1401156785146092,##,_CmajGmajFminAminCmaj,0157; 0267; 0386; 0444; 0603
12,9,Cmaj,Amin,Fmin,Gmaj,Cmaj,Amin,Fmin,Gmaj,Cmaj,,,,,,,,,,,1.2516291673878228,##,_CmajGmajFminAminCmajGmajFminAminCmaj,0157; 0603
19,8,Cmaj,Amin,Gmaj,Fmaj,Cmaj,Amin,Gmaj,Fmaj,,,,,,,,,,,,1.457424881409171,#,_FmajGmajAminCmajFmajGmajAminCmaj,0555; 1011; 1022
10,7,Cmaj,Amin,Gno3,Dno3,Emin,Gmaj,Cmaj,,,,,,,,,,,,,1.1567796494470395,##,_CmajGmajEminDno3Gno3AminCmaj,1167
27,6,Cmaj,Amin,Gno3,Gmaj,B-maj,Bdim,,,,,,,,,,,,,,0.9182958340544896,#,_BdimB-majGmajGno3AminCmaj,0524; 1098; 1183
10,9,Cmaj,B-maj,Amaj,Dmin,Cmaj,Fmaj,B-maj,Amaj,Dmaj,,,,,,,,,,,0.9709505944546686,##,_DmajAmajB-majFmajCmajDminAmajB-majCmaj,0242; 0782
20,9,Cmaj,B-maj,Amin,Ano3,Emaj,Fmaj,Dmaj,Bmaj,Emaj,,,,,,,,,,,0.9709505944546686,#####,_EmajBmajDmajFmajEmajAno3AminB-majCmaj,0381; 0999
25,6,Cmaj,B-maj,Amin,Cmaj,B-maj,Amin,,,,,,,,,,,,,,0.9161182137782962,#,_AminB-majCmajAminB-majCmaj,0025; 0124; 0445; 0916
10,9,Cmaj,B-maj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,,,,,,,,,,,1.5709505944546684,#,_CmajB-majCmajFmajCmajB-majCmajB-majCmaj,0150; 0794; 0834; 1031
40,9,Cmaj,B-maj,Cmaj,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,,,,,,,,,,,1.1411535278793057,##,_FmajB-majFmajB-majFmajB-majCmajB-majCmaj,0053; 0139; 0561; 0695; 0885; 1018; 1025
10,15,Cmaj,B-maj,Cmaj,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,B-maj,Fmaj,,,,,0.9709505944546686,####,_FmajB-majFmajB-majFmajB-majFmajB-majFmajB-majFmajB-majCmajB-majCmaj,0053; 0139; 0885; 1025
12,7,Cmaj,B-maj,Cmaj,B-maj,Fmaj,Gmaj,Cmaj,,,,,,,,,,,,,0.9182958340544896,#,_CmajGmajFmajB-majCmajB-majCmaj,0072; 0088; 1136
10,8,Cmaj,B-maj,Cmaj,B-no3,B-maj,Cmaj,B-maj,Cmaj,,,,,,,,,,,,1.0,####,_CmajB-majCmajB-majB-no3CmajB-majCmaj,0223
21,6,Cmaj,B-maj,Cmaj,Dmin,Amin,B-maj,,,,,,,,,,,,,,0.9182958340544896,#,_B-majAminDminCmajB-majCmaj,0227; 0258; 0275; 0349; 0385; 0524; 0628; 0911; 1098; 1173; 1183
60,10,Cmaj,B-maj,Cmaj,Dmin,Cmaj,B-maj,Cmaj,Dmin,Cmaj,B-maj,,,,,,,,,,0.9504665144729252,##,_B-majCmajDminCmajB-majCmajDminCmajB-majCmaj,0134; 0524; 0608; 0633; 0659; 1098; 1171; 1183
21,7,Cmaj,B-maj,Cmaj,Dmin,Cmaj,Dmin,Cmaj,,,,,,,,,,,,,1.2285763800288914,#,_CmajDminCmajDminCmajB-majCmaj,0062; 0134; 0150; 0608; 0629; 0659; 0889; 1067
10,9,Cmaj,B-maj,Cmaj,Dmin,Cmaj,Dmin,Cmaj,B-maj,Cmaj,,,,,,,,,,,0.9709505944546686,#,_CmajB-majCmajDminCmajDminCmajB-majCmaj,0150; 0608; 0659; 0889
10,9,Cmaj,B-maj,Cmaj,Dmin,Cmaj,Dmin,Cmaj,Dmin,Cmaj,,,,,,,,,,,1.5709505944546684,#,_CmajDminCmajDminCmajDminCmajB-majCmaj,0062; 0629; 1067
15,12,Cmaj,B-maj,Cmaj,Fmaj,B-maj,Cmaj,B-maj,Cmaj,Fmaj,B-maj,Cmaj,B-maj,,,,,,,,0.9182958340544896,##,_B-majCmajB-majFmajCmajB-majCmajB-majFmajCmajB-majCmaj,0300; 1190
15,9,Cmaj,B-maj,Cmaj,Fmaj,B-maj,Cmaj,Fmaj,B-maj,Cmaj,,,,,,,,,,,1.0529815751302694,#,_CmajB-majFmajCmajB-majFmajCmajB-majCmaj,0217; 0387; 0450; 0597; 0780; 0915; 1143; 1190
108,10,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,,,,,,,,,,0.9453686306042011,#,_B-majCmajFmajCmajB-majCmajFmajCmajB-majCmaj,0006; 0081; 0150; 0198; 0258; 0300; 0349; 0385; 0574; 0628; 0776; 0794; 0821; 0833; 0911; 1271; 1289
24,19,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,B-maj,Cmaj,1.1386865525783179,###,_CmajB-majCmajFmajCmajB-majCmajFmajCmajB-majCmajFmajCmajB-majCmajFmajCmajB-majCmaj,0081; 0150; 0794; 0821; 0833; 1289
10,9,Cmaj,B-maj,Cmaj,Fmaj,Cmaj,Dmin,Cmaj,B-maj,Cmaj,,,,,,,,,,,1.1567796494470395,#,_CmajB-majCmajDminCmajFmajCmajB-majCmaj,0184
15,8,Cmaj,B-maj,Cmaj,Fmaj,Dmin,B-maj,Cmaj,Fmaj,,,,,,,,,,,,1.5546097612655667,##,_FmajCmajB-majDminFmajCmajB-majCmaj,0198; 0574; 0749; 0776; 0914; 0992
10,15,Cmaj,B-maj,Cmaj,Fmaj,Gmin,B-maj,Cmaj,B-maj,Cmaj,Fmaj,Gmin,B-maj,Cmaj,B-maj,Cmaj,,,,,0.9219280948873623,#######,_CmajB-majCmajB-majGminFmajCmajB-majCmajB-majGminFmajCmajB-majCmaj,1104
10,11,Cmaj,B-maj,Fmaj,B-maj,Cmaj,B-maj,Cmaj,B-maj,Cmaj,Fmaj,B-maj,,,,,,,,,1.4854752972273344,###,_B-majFmajCmajB-majCmajB-majCmajB-majFmajB-majCmaj,0083; 0238
12,9,Cmaj,B-maj,Fmaj,B-maj,Cmaj,Fmaj,B-maj,Cmaj,Fmaj,,,,,,,,,,,1.0,#,_FmajCmajB-majFmajCmajB-majFmajB-majCmaj,0372; 0443; 0555; 0589; 1022; 1104
